房屋总价,房屋单价,小区名称,所在区域,房屋户型,户型结构,所在楼层,套内面积,房屋朝向,装修情况,配备电梯,建筑面积,建筑类型,楼层高度,建筑结构,梯户比例,挂牌时间,上次交易,房屋年限,抵押信息,房源核验码,交易权属,房屋用途,产权所属,房本备件
57万,7447,鉴山墅,都江堰都江堰,2室2厅1卫,平层,高楼层 (共12层)咨询楼层,暂无咨询套内面积,东南,其他,,76.55㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,暂无数据,2025年04月18日,2024年04月25日,未满两年,无抵押,20251537947,商品房,普通住宅,非共有,已上传房本照片
139.8万,15715,城投东庐,成华万年场,3室2厅2卫,平层,中楼层 (共27层)咨询楼层,暂无咨询套内面积,西,简装,有,88.96㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月17日,2021年01月27日,满两年,有抵押,20251552438,限价商品房,普通住宅,非共有,已上传房本照片
116万,12758,贵通御苑雙楠城,双流蛟龙港,3室2厅2卫,平层,低楼层 (共16层)咨询楼层,暂无咨询套内面积,南,精装,有,90.93㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯四户,2025年04月17日,2020年03月31日,满五年,有抵押 26万元,20251552057,商品房,普通住宅,非共有,已上传房本照片
76万,9818,肖家河北街88号,高新衣冠庙,2室1厅1卫,平层,中楼层 (共7层)咨询楼层,暂无咨询套内面积,西南,其他,,77.41㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,暂无数据,2025年04月17日,2010年03月24日,满五年,无抵押,20251551930,已购公房,普通住宅,非共有,已上传房本照片
195万,26143,南山御峯,武侯丽都,2室1厅1卫,平层,中楼层 (共18层)咨询楼层,暂无咨询套内面积,西南,毛坯,有,74.59㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯五户,2025年04月17日,2024年07月19日,未满两年,无抵押,20251552267,商品房,普通住宅,非共有,已上传房本照片
65万,7676,八二一小区,新都新都城区,2室2厅1卫,平层,中楼层 (共18层)咨询楼层,暂无咨询套内面积,北,其他,,84.69㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月17日,2025年04月17日,未满两年,暂无数据,20251552341,商品房,普通住宅,共有,已上传房本照片
125万,16998,优品道珑苑,新都大丰,3室2厅1卫,平层,中楼层 (共32层)咨询楼层,暂无咨询套内面积,南,其他,有,73.54㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月17日,2019年11月16日,满五年,有抵押 业主自还,20251552546,商品房,普通住宅,共有,已上传房本照片
46.6万,5375,三和人家,崇州崇州城区,2室1厅1卫,平层,中楼层 (共6层)咨询楼层,暂无咨询套内面积,东南,其他,,86.7㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月17日,2010年01月12日,满五年,无抵押,20251550520,商品房,普通住宅,共有,已上传房本照片
255万,18259,复地御香山3悦,天府新区锦江生态带,4室2厅2卫,平层,中楼层 (共33层)咨询楼层,暂无咨询套内面积,南 北,其他,有,139.66㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯四户,2025年04月16日,2020年03月17日,满五年,无抵押,20230422892,商品房,普通住宅,非共有,已上传房本照片
63万,13723,水木光华,青羊西南财大,1室0厅1卫,平层,中楼层 (共11层)咨询楼层,暂无咨询套内面积,东,精装,有,45.91㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯四十一户,2025年04月16日,2021年04月13日,满两年,无抵押,20251550156,商品房,普通住宅,非共有,已上传房本照片
